stop_id,makat,route_short_name,route_long_name,agency_name,stop_name,city_name
49133,65002,2,קרית אריה-פתח תקווה --> הקוממיות-בת ים,תבל,איסקוב,תל אביב יפו
49115,79001,1,תחנה מרכזית פתח תקווה-פתח תקווה --> הקוממיות-בת ים,תבל,הבעש''ט,תל אביב יפו
49115,65002,2,קרית אריה-פתח תקווה --> הקוממיות-בת ים,תבל,הבעש''ט,תל אביב יפו
49108,79001,1,תחנה מרכזית פתח תקווה-פתח תקווה --> הקוממיות-בת ים,תבל,מחרוזת,תל אביב יפו
49108,65002,2,קרית אריה-פתח תקווה --> הקוממיות-בת ים,תבל,מחרוזת,תל אביב יפו
49105,79001,1,תחנה מרכזית פתח תקווה-פתח תקווה --> הקוממיות-בת ים,תבל,העצמאות,בת ים
49105,65002,2,קרית אריה-פתח תקווה --> הקוממיות-בת ים,תבל,העצמאות,בת ים
49156,79001,1,תחנה מרכזית פתח תקווה-פתח תקווה --> הקוממיות-בת ים,תבל,רוטשילד,בת ים
49156,65002,2,קרית אריה-פתח תקווה --> הקוממיות-בת ים,תבל,רוטשילד,בת ים
49155,79001,1,תחנה מרכזית פתח תקווה-פתח תקווה --> הקוממיות-בת ים,תבל,ז'בוטינסקי,בת ים
49155,65002,2,קרית אריה-פתח תקווה --> הקוממיות-בת ים,תבל,ז'בוטינסקי,בת ים
49118,79001,1,תחנה מרכזית פתח תקווה-פתח תקווה --> הקוממיות-בת ים,תבל,בלפור,בת ים
49118,65002,2,קרית אריה-פתח תקווה --> הקוממיות-בת ים,תבל,בלפור,בת ים
49139,79001,1,תחנה מרכזית פתח תקווה-פתח תקווה --> הקוממיות-בת ים,תבל,בנימין,בת ים
49139,65002,2,קרית אריה-פתח תקווה --> הקוממיות-בת ים,תבל,בנימין,בת ים
49147,79001,1,תחנה מרכזית פתח תקווה-פתח תקווה --> הקוממיות-בת ים,תבל,יוספטל,בת ים
49147,65002,2,קרית אריה-פתח תקווה --> הקוממיות-בת ים,תבל,יוספטל,בת ים
49111,79001,1,תחנה מרכזית פתח תקווה-פתח תקווה --> הקוממיות-בת ים,תבל,כ''ט בנובמבר,בת ים
49111,65002,2,קרית אריה-פתח תקווה --> הקוממיות-בת ים,תבל,כ''ט בנובמבר,בת ים
49153,79001,1,תחנה מרכזית פתח תקווה-פתח תקווה --> הקוממיות-בת ים,תבל,העמל,בת ים
49153,65002,2,קרית אריה-פתח תקווה --> הקוממיות-בת ים,תבל,העמל,בת ים
49125,79001,1,תחנה מרכזית פתח תקווה-פתח תקווה --> הקוממיות-בת ים,תבל,הקוממיות,בת ים
49125,65002,2,קרית אריה-פתח תקווה --> הקוממיות-בת ים,תבל,הקוממיות,בת ים
49102,86003,3,אליפלט-תל אביב יפו --> קרית אריה-פתח תקווה,תבל,גשר אם המושבות,בני ברק
49102,65002,2,הקוממיות-בת ים --> קרית אריה-פתח תקווה,תבל,גשר אם המושבות,בני ברק
49127,86003,3,אליפלט-תל אביב יפו --> קרית אריה-פתח תקווה,תבל,קרית אריה,פתח תקווה
49127,65002,2,הקוממיות-בת ים --> קרית אריה-פתח תקווה,תבל,קרית אריה,פתח תקווה
49106,86003,3,קרית אריה-פתח תקווה --> אליפלט-תל אביב יפו,תבל,קרית אריה,פתח תקווה
49106,65002,2,קרית אריה-פתח תקווה --> הקוממיות-בת ים,תבל,קרית אריה,פתח תקווה
49152,86003,3,קרית אריה-פתח תקווה --> אליפלט-תל אביב יפו,תבל,גשר אם המושבות,בני ברק
49152,65002,2,קרית אריה-פתח תקווה --> הקוממיות-בת ים,תבל,גשר אם המושבות,בני ברק
